"","naturevar","subgroup","beta","se","deviance","RR","LL","UL"
"m11","nat_timeoncewk","main",0.00238094686446633,0.0185287477045145,"529.285357501847",1,0.97,1.04
"m12","nat_timeoncewk","men",0.0101171565891836,0.0234316525165685,"523.807637245772",1.01,0.96,1.06
"m13","nat_timeoncewk","women",0.014007807042223,0.0253199422260816,"523.807637245772",1.01,0.97,1.07
"m13a","nat_timeoncewk","missinggender",-0.0929276231564881,0.0667354305212636,"523.807637245772",0.91,0.8,1.04
"m5lrt","nat_timeoncewk","gender adj for lrt",0.00340672993073948,0.0185691884568655,"526.290841048789",1,0.97,1.04
"m14","nat_timeoncewk","white",-0.0125053957115773,0.0246097075392582,"519.248839958159",0.99,0.94,1.04
"m15","nat_timeoncewk","nonwhite",0.0380728101796971,0.0252216200338061,"519.248839958159",1.04,0.99,1.09
"m6lrt","nat_timeoncewk","race adj for lrt",0.00442628052391208,0.0185363665847665,"520.977643794052",1,0.97,1.04
